[2026-02-25 12:14:20] Starting Functional Regression Testing...
[2026-02-25 12:14:20] Health Check /health: PASS (0.017s)
[2026-02-25 12:14:20] Health Check /slm/health: PASS (0.002s)
[2026-02-25 12:14:20] Health Check /llm/health: PASS (0.001s)
[2026-02-25 12:14:20] Health Check /rag/health: PASS (0.001s)
[2026-02-25 12:14:24] App Switching talentops: PASS (Available: True)
[2026-02-25 12:14:24] App Switching cohort: PASS (Available: True)
[2026-02-25 12:14:24] Running Performance Benchmarks...
[2026-02-25 12:14:24] Starting Load Test with 10 concurrent users...
[2026-02-25 12:14:42] Load Test (10 users): Avg 10.157s, P95 18.245s, Errors 0
[2026-02-25 12:14:42] Starting Load Test with 50 concurrent users...
[2026-02-25 12:15:02] Load Test (50 users): Avg 10.916s, P95 20.196s, Errors 38
[2026-02-25 12:15:02] Starting Load Test with 100 concurrent users...
[2026-02-25 12:15:23] Load Test (100 users): Avg 0.000s, P95 0.000s, Errors 100
[2026-02-25 12:15:23] Starting Stress & Edge Case Testing...
[2026-02-25T12:16:56.489649] SLM Request: Total=1.516s, TTFT=0.371s, Gen=0.728s, TPS=145.54, Status=success
[2026-02-25T12:16:58.687055] SLM Request: Total=2.192s, TTFT=0.586s, Gen=1.255s, TPS=51.80, Status=success
[2026-02-25T12:17:00.969357] SLM Request: Total=2.277s, TTFT=0.505s, Gen=1.204s, TPS=93.03, Status=success
[2026-02-25T12:17:02.531545] SLM Request: Total=1.555s, TTFT=0.402s, Gen=0.720s, TPS=147.24, Status=success
[2026-02-25T12:17:04.570820] SLM Request: Total=2.034s, TTFT=0.456s, Gen=1.070s, TPS=98.12, Status=success
[2026-02-25T12:17:06.115197] SLM Request: Total=1.538s, TTFT=0.350s, Gen=0.710s, TPS=149.30, Status=success
[2026-02-25T12:17:07.782327] SLM Request: Total=1.664s, TTFT=0.457s, Gen=0.848s, TPS=76.70, Status=success
[2026-02-25T12:17:09.528302] SLM Request: Total=1.740s, TTFT=0.405s, Gen=0.962s, TPS=110.20, Status=success
[2026-02-25T12:17:11.419398] SLM Request: Total=1.885s, TTFT=0.396s, Gen=0.808s, TPS=131.26, Status=success
[2026-02-25T12:17:13.174045] SLM Request: Total=1.748s, TTFT=0.383s, Gen=0.914s, TPS=115.95, Status=success
[2026-02-25T12:17:15.194733] SLM Request: Total=2.015s, TTFT=0.486s, Gen=1.281s, TPS=81.97, Status=success
[2026-02-25T12:17:16.991971] SLM Request: Total=1.790s, TTFT=0.573s, Gen=1.014s, TPS=104.54, Status=success
[2026-02-25T12:17:18.596657] SLM Request: Total=1.602s, TTFT=0.367s, Gen=0.728s, TPS=145.65, Status=success
[2026-02-25T12:17:20.419979] SLM Request: Total=1.820s, TTFT=0.437s, Gen=0.988s, TPS=107.31, Status=success
[2026-02-25T12:17:22.734985] SLM Request: Total=2.309s, TTFT=0.990s, Gen=1.370s, TPS=77.37, Status=success
[2026-02-25T12:17:24.966496] SLM Request: Total=2.230s, TTFT=0.456s, Gen=1.383s, TPS=73.77, Status=success
[2026-02-25T12:17:26.501997] SLM Request: Total=1.529s, TTFT=0.375s, Gen=0.745s, TPS=142.21, Status=success
[2026-02-25T12:17:28.265466] SLM Request: Total=1.758s, TTFT=0.459s, Gen=1.062s, TPS=114.91, Status=success
[2026-02-25T12:17:30.021943] SLM Request: Total=1.754s, TTFT=0.392s, Gen=0.860s, TPS=118.59, Status=success
[2026-02-25T12:17:32.025474] SLM Request: Total=1.996s, TTFT=0.663s, Gen=1.187s, TPS=103.61, Status=success
[2026-02-25T12:17:33.533147] SLM Request: Total=1.504s, TTFT=0.368s, Gen=0.690s, TPS=153.56, Status=success
[2026-02-25T12:17:35.589011] SLM Request: Total=2.050s, TTFT=0.565s, Gen=1.275s, TPS=127.11, Status=success
[2026-02-25T12:17:37.293088] SLM Request: Total=1.700s, TTFT=0.504s, Gen=0.970s, TPS=109.26, Status=success
[2026-02-25T12:17:39.312366] SLM Request: Total=2.011s, TTFT=0.451s, Gen=1.034s, TPS=74.45, Status=success
[2026-02-25T12:17:40.721258] SLM Request: Total=1.405s, TTFT=0.516s, Gen=0.723s, TPS=146.70, Status=success
[2026-02-25T12:17:42.666592] SLM Request: Total=1.936s, TTFT=0.483s, Gen=1.124s, TPS=77.43, Status=success
